generation,fitness
1,3
2,6
3,10
4,14
5,17
6,20
7,23
8,25
9,33
10,33
11,38
12,40
13,40
14,43
15,47
16,50
17,52
18,55
19,58
20,61
21,63
22,65
23,68
24,72
25,75
26,79
27,83
28,83
29,86
30,89
31,89
32,92
33,96
34,99
35,100
36,105
37,108
38,109
39,113
40,115
41,118
42,122
43,124
44,124
45,129
46,129
47,132
48,136
49,136
50,137
51,140
52,141
53,142
54,143
55,149
56,153
57,155
58,160
59,160
60,161
61,163
62,166
63,168
64,168
65,171
66,171
67,174
68,176
69,180
70,180
71,184
72,184
73,189
74,192
75,193
76,195
77,198
78,200
79,202
80,205
81,205
82,208
83,213
84,216
85,216
86,217
87,218
88,221
89,222
90,224
91,227
92,227
93,227
94,231
95,233
96,239
97,240
98,244
99,244
100,246
101,246
102,249
103,249
104,252
105,252
106,256
107,257
108,261
109,261
110,265
111,265
112,268
113,270
114,272
115,273
116,273
117,274
118,275
119,280
120,280
121,280
122,283
123,285
124,289
125,290
126,290
127,296
128,297
129,301
130,303
131,303
132,304
133,307
134,308
135,311
136,311
137,313
138,313
139,315
140,316
141,316
142,320
143,322
144,322
145,326
146,326
147,327
148,332
149,333
150,334
151,334
152,337
153,339
154,339
155,340
156,341
157,341
158,341
159,341
160,343
161,344
162,344
163,347
164,350
165,350
166,354
167,354
168,354
169,354
170,360
171,360
172,360
173,360
174,361
175,363
176,364
177,364
178,367
179,369
180,372
181,373
182,373
183,373
184,374
185,375
186,375
187,375
188,376
189,378
190,379
191,380
192,380
193,384
194,384
195,389
196,389
197,389
198,389
199,393
200,393
201,394
202,394
203,394
204,394
205,398
206,400
207,405
208,408
209,408
210,411
211,412
212,412
213,413
214,413
215,413
216,413
217,413
218,418
219,418
220,419
221,422
222,422
223,423
224,424
225,425
226,425
227,425
228,427
229,427
230,427
231,427
232,428
233,428
234,429
235,429
236,430
237,432
238,434
239,437
240,438
241,440
242,441
243,443
244,445
245,448
246,448
247,449
248,452
249,453
250,453
251,453
252,456
253,456
254,456
255,456
256,458
257,460
258,460
259,464
260,464
261,467
262,468
263,468
264,468
265,468
266,469
267,469
268,471
269,471
270,473
271,474
272,475
273,476
274,476
275,476
276,479
277,480
278,481
279,481
280,482
281,484
282,484
283,484
284,484
285,485
286,486
287,487
288,490
289,490
290,490
291,494
292,494
293,494
294,494
295,494
296,496
297,496
298,496
299,496
300,498
301,498
302,499
303,499
304,503
305,503
306,503
307,504
308,504
309,506
310,506
311,506
312,506
313,506
314,507
315,508
316,510
317,510
318,510
319,510
320,510
321,514
322,514
323,514
324,514
325,514
326,517
327,517
328,518
329,518
330,518
331,518
332,518
333,520
334,522
335,522
336,523
337,523
338,523
339,524
340,524
341,524
342,524
343,524
344,525
345,525
346,528
347,528
348,528
349,528
350,528
351,528
352,528
353,528
354,528
355,528
356,528
357,528
358,528
359,529
360,530
361,530
362,530
363,530
364,530
365,530
366,531
367,531
368,531
369,531
370,531
371,531
372,531
373,531
374,531
375,531
376,534
377,534
378,534
379,536
380,536
381,538
382,538
383,538
384,538
385,539
386,539
387,540
388,540
389,542
390,542
391,542
392,542
393,542
394,542
395,542
396,542
397,544
398,544
399,545
400,547
401,547
402,549
403,549
404,549
405,549
406,550
407,552
408,552
409,554
410,554
411,555
412,556
413,556
414,556
415,556
416,557
417,557
418,557
419,557
420,558
421,558
422,558
423,558
424,559
425,562
426,565
427,565
428,565
429,566
430,566
431,568
432,569
433,569
434,569
435,569
436,569
437,570
438,570
439,570
440,570
441,571
442,576
443,576
444,577
445,577
446,578
447,578
448,578
449,578
450,578
451,578
452,578
453,579
454,579
455,579
456,581
457,583
458,583
459,584
460,585
461,586
462,586
463,586
464,586
465,589
466,589
467,589
468,589
469,589
470,589
471,590
472,590
473,590
474,590
475,590
476,590
477,590
478,590
479,590
480,590
481,590
482,590
483,591
484,591
485,591
486,591
487,591
488,591
489,592
490,592
491,592
492,592
493,594
494,594
495,594
496,594
497,594
498,594
499,596
500,596
501,596
502,596
503,596
504,597
505,597
506,598
507,598
508,598
509,598
510,598
511,598
512,598
513,599
514,601
515,601
516,602
517,602
518,603
519,603
520,603
521,603
522,604
523,605
524,605
525,605
526,605
527,606
528,606
529,608
530,608
531,608
532,608
533,608
534,609
535,609
536,609
537,611
538,611
539,611
540,612
541,612
542,612
543,612
544,612
545,612
546,614
547,614
548,614
549,614
550,614
551,615
552,615
553,615
554,615
555,616
556,616
557,616
558,618
559,618
560,618
561,620
562,620
563,620
564,620
565,623
566,623
567,626
568,628
569,628
570,630
571,630
572,630
573,630
574,630
575,630
576,630
577,630
578,630
579,632
580,632
581,632
582,632
583,633
584,635
585,635
586,635
587,635
588,635
589,635
590,635
591,636
592,638
593,639
594,640
595,640
596,641
597,641
598,642
599,642
600,642
601,642
602,642
603,642
604,642
605,643
606,643
607,644
608,644
609,644
610,644
611,644
612,645
613,647
614,648
615,648
616,648
617,648
618,648
619,648
620,648
621,648
622,648
623,648
624,648
625,648
626,648
627,649
628,649
629,649
630,649
631,649
632,649
633,649
634,649
635,650
636,650
637,650
638,650
639,652
640,652
641,652
642,652
643,653
644,655
645,655
646,656
647,656
648,656
649,656
650,656
651,656
652,656
653,656
654,656
655,657
656,658
657,658
658,658
659,658
660,658
661,658
662,658
663,658
664,658
665,658
666,658
667,658
668,660
669,661
670,661
671,661
672,664
673,664
674,664
675,664
676,664
677,664
678,664
679,664
680,664
681,664
682,664
683,668
684,668
685,668
686,668
687,668
688,668
689,668
690,668
691,668
692,668
693,668
694,669
695,669
696,669
697,669
698,669
699,669
700,669
701,669
702,671
703,671
704,671
705,671
706,671
707,671
708,674
709,674
710,674
711,674
712,675
713,675
714,675
715,675
716,675
717,676
718,676
719,676
720,677
721,677
722,678
723,678
724,678
725,678
726,678
727,678
728,678
729,678
730,679
731,679
732,679
733,680
734,680
735,680
736,680
737,680
738,680
739,680
740,684
741,684
742,684
743,684
744,684
745,684
746,684
747,684
748,685
749,685
750,685
751,685
752,685
753,685
754,685
755,685
756,685
757,685
758,685
759,685
760,685
761,685
762,686
763,686
764,686
765,687
766,687
767,688
768,688
769,688
770,688
771,688
772,690
773,690
774,690
775,690
776,690
777,690
778,691
779,691
780,691
781,691
782,691
783,691
784,691
785,693
786,693
787,693
788,693
789,693
790,693
791,693
792,693
793,694
794,694
795,694
796,694
797,694
798,694
799,694
800,694
801,694
802,694
803,694
804,694
805,694
806,695
807,695
808,695
809,695
810,695
811,695
812,695
813,695
814,695
815,695
816,695
817,695
818,695
819,695
820,695
821,695
822,695
823,695
824,695
825,695
826,695
827,695
828,696
829,697
830,697
831,697
832,697
833,697
834,697
835,697
836,697
837,697
838,697
839,697
840,697
841,697
842,697
843,697
844,697
845,697
846,697
847,697
848,697
849,697
850,698
851,698
852,698
853,698
854,698
855,698
856,698
857,698
858,698
859,700
860,700
861,700
862,700
863,700
864,702
865,702
866,702
867,702
868,702
869,702
870,702
871,702
872,702
873,702
874,703
875,703
876,703
877,703
878,703
879,703
880,703
881,703
882,703
883,703
884,703
885,703
886,703
887,705
888,705
889,706
890,706
891,706
892,706
893,707
894,707
895,707
896,711
897,712
898,712
899,712
900,712
901,712
902,712
903,712
904,712
905,712
906,712
907,712
908,712
909,712
910,714
911,714
912,714
913,714
914,714
915,714
916,714
917,714
918,714
919,714
920,715
921,715
922,715
923,715
924,715
925,715
926,715
927,715
928,715
929,715
930,715
931,715
932,715
933,715
934,715
935,715
936,715
937,715
938,715
939,718
940,718
941,718
942,718
943,719
944,719
945,719
946,719
947,719
948,719
949,721
950,721
951,721
952,721
953,721
954,721
955,722
956,722
957,722
958,722
959,724
960,724
961,724
962,724
963,724
964,724
965,724
966,724
967,724
968,724
969,724
970,724
971,724
972,724
973,726
974,726
975,726
976,726
977,726
978,727
979,727
980,727
981,727
982,727
983,727
984,727
985,727
986,727
987,729
988,729
989,730
990,730
991,730
992,730
993,730
994,730
995,730
996,730
997,730
998,730
999,730
1000,733
1001,733
1002,733
1003,733
1004,734
1005,734
1006,735
1007,735
1008,735
1009,735
1010,735
1011,735
1012,736
1013,736
1014,736
1015,736
1016,736
1017,736
1018,736
1019,736
1020,736
1021,736
1022,736
1023,736
1024,736
1025,736
1026,737
1027,739
1028,741
1029,741
1030,741
1031,741
1032,741
1033,741
1034,741
1035,742
1036,742
1037,742
1038,742
1039,742
1040,742
1041,744
1042,744
1043,744
1044,744
1045,744
1046,744
1047,744
1048,744
1049,744
1050,744
1051,744
1052,745
1053,746
1054,746
1055,746
1056,746
1057,746
1058,746
1059,747
1060,747
1061,747
1062,747
1063,748
1064,748
1065,748
1066,748
1067,749
1068,750
1069,750
1070,750
1071,750
1072,750
1073,750
1074,750
1075,750
1076,750
1077,750
1078,750
1079,750
1080,752
1081,752
1082,752
1083,752
1084,752
1085,753
1086,755
1087,755
1088,755
1089,755
1090,755
1091,755
1092,755
1093,755
1094,755
1095,755
1096,755
1097,755
1098,755
1099,755
1100,755
1101,755
1102,755
1103,755
