generation,fitness
1,3
2,7
3,10
4,11
5,15
6,20
7,24
8,30
9,35
10,38
11,40
12,41
13,42
14,45
15,48
16,51
17,55
18,56
19,60
20,64
21,69
22,75
23,75
24,79
25,82
26,82
27,82
28,83
29,88
30,92
31,95
32,97
33,97
34,99
35,102
36,102
37,105
38,105
39,107
40,107
41,113
42,116
43,116
44,117
45,121
46,123
47,126
48,126
49,126
50,128
51,132
52,137
53,138
54,142
55,144
56,148
57,150
58,150
59,152
60,155
61,158
62,160
63,160
64,162
65,163
66,168
67,170
68,173
69,174
70,175
71,178
72,179
73,182
74,186
75,189
76,189
77,191
78,194
79,194
80,199
81,199
82,199
83,199
84,202
85,202
86,203
87,205
88,206
89,208
90,210
91,211
92,215
93,215
94,216
95,219
96,219
97,222
98,228
99,228
100,229
101,231
102,234
103,236
104,237
105,239
106,241
107,247
108,248
109,251
110,252
111,254
112,256
113,259
114,264
115,264
116,267
117,268
118,268
119,268
120,272
121,274
122,274
123,275
124,279
125,282
126,282
127,283
128,286
129,288
130,291
131,291
132,292
133,293
134,295
135,297
136,297
137,297
138,297
139,299
140,302
141,302
142,306
143,309
144,312
145,316
146,316
147,317
148,317
149,319
150,320
151,323
152,324
153,327
154,327
155,327
156,328
157,330
158,334
159,335
160,335
161,337
162,342
163,346
164,350
165,353
166,354
167,356
168,356
169,358
170,358
171,360
172,362
173,364
174,364
175,364
176,366
177,371
178,371
179,372
180,374
181,374
182,376
183,376
184,378
185,380
186,380
187,382
188,385
189,385
190,387
191,388
192,389
193,390
194,391
195,392
196,393
197,393
198,394
199,394
200,395
201,395
202,396
203,399
204,400
205,403
206,403
207,405
208,407
209,409
210,409
211,409
212,409
213,409
214,410
215,412
216,412
217,412
218,413
219,413
220,413
221,413
222,414
223,418
224,418
225,418
226,418
227,418
228,421
229,421
230,422
231,424
232,424
233,424
234,426
235,426
236,427
237,427
238,427
239,431
240,431
241,431
242,431
243,431
244,431
245,433
246,433
247,433
248,435
249,435
