generation,fitness
1,5
2,10
3,15
4,20
5,25
6,30
7,35
8,40
9,45
10,50
11,55
12,58
13,63
14,68
15,73
16,76
17,81
18,86
19,91
20,94
21,99
22,104
23,109
24,114
25,117
26,120
27,125
28,130
29,135
30,140
31,145
32,150
33,153
34,156
35,159
36,164
37,165
38,168
39,173
40,178
41,181
42,182
43,185
44,190
45,195
46,200
47,205
48,206
49,209
50,210
51,215
52,216
53,217
54,222
55,227
56,227
57,228
58,233
59,238
60,239
61,240
62,243
63,248
64,251
65,252
66,255
67,256
68,261
69,266
70,271
71,272
72,277
73,280
74,283
75,286
76,289
77,292
78,297
79,298
80,301
81,302
82,307
83,308
84,309
85,312
86,315
87,316
88,321
89,326
90,326
91,329
92,329
93,329
94,334
95,335
96,335
97,338
98,343
99,346
100,349
101,350
102,353
103,354
104,359
105,360
106,361
107,362
108,363
109,363
110,363
111,363
112,366
113,369
114,372
115,373
116,378
117,379
118,380
119,381
120,382
121,385
122,385
123,386
124,387
125,388
126,391
127,391
128,392
129,392
130,395
131,395
132,400
133,401
134,402
135,403
136,404
137,407
138,408
139,408
140,411
141,412
142,415
143,416
144,419
145,420
146,420
147,421
148,422
149,422
150,425
151,426
152,426
153,427
154,430
155,430
156,433
157,433
158,438
159,441
160,441
161,444
162,445
163,446
164,449
165,449
166,452
167,452
168,453
169,453
170,454
171,455
172,456
173,459
174,459
175,459
176,459
177,459
178,462
179,463
180,463
181,464
182,464
183,464
184,465
185,465
186,466
187,469
188,469
189,470
190,470
191,471
192,471
193,471
194,471
195,472
196,473
197,476
198,477
199,480
200,480
201,480
202,481
203,482
204,482
205,487
206,488
207,488
208,488
209,489
210,489
211,490
212,491
213,492
214,493
215,494
216,494
217,495
218,496
219,499
220,499
221,499
222,500
223,501
224,501
225,504
226,504
227,504
228,504
229,504
230,509
231,509
232,510
233,511
234,512
235,512
236,512
237,513
238,518
239,518
240,518
241,518
242,519
243,519
244,520
245,520
246,520
247,521
248,522
249,525
250,525
251,526
252,527
253,527
254,527
255,527
256,527
257,530
258,533
259,534
260,534
261,535
262,535
263,540
264,540
265,543
266,543
267,546
268,546
269,546
270,546
271,547
272,550
273,551
274,551
275,554
276,554
277,557
278,557
279,557
280,557
281,557
282,558
283,558
284,561
285,562
286,567
287,567
288,568
289,569
290,569
291,572
292,573
293,573
294,573
295,574
296,574
297,574
298,577
299,577
300,577
301,577
302,577
303,577
304,577
305,580
306,580
307,580
308,583
309,583
310,584
311,584
312,585
313,585
314,585
315,588
316,591
317,591
318,592
319,592
320,593
321,593
322,596
323,596
324,596
325,596
326,596
327,596
328,596
329,597
330,597
331,597
332,597
333,597
334,597
335,600
336,600
337,600
338,600
339,601
340,601
341,601
342,601
343,602
344,602
345,603
346,604
347,604
348,604
349,607
350,608
351,609
352,609
353,609
354,609
355,609
356,609
357,609
358,610
359,610
360,611
361,611
362,611
363,612
364,612
365,612
366,612
367,613
368,614
369,614
370,614
371,614
372,614
373,614
374,614
375,614
376,614
377,619
378,620
379,623
380,623
381,624
382,625
383,625
384,628
385,629
386,629
387,629
388,629
389,629
390,629
391,629
392,630
393,630
394,631
395,634
396,634
397,635
398,636
399,639
400,639
401,639
402,639
403,640
404,640
405,641
406,641
407,642
408,642
409,642
410,643
411,643
412,644
413,645
414,645
415,645
416,645
417,645
418,645
419,646
420,646
421,646
422,649
423,649
424,650
425,650
426,650
427,650
428,650
429,650
430,650
431,651
432,651
433,651
434,651
435,651
436,651
437,654
438,654
439,654
440,654
441,654
442,655
443,655
