generation,fitness
1,3
2,6
3,9
4,12
5,15
6,18
7,21
8,24
9,27
10,30
11,33
12,36
13,39
14,42
15,45
16,48
17,51
18,54
19,57
20,60
21,63
22,66
23,67
24,70
25,73
26,76
27,79
28,82
29,83
30,86
31,89
32,92
33,95
34,98
35,99
36,102
37,105
38,108
39,111
40,112
41,115
42,118
43,119
44,122
45,123
46,124
47,127
48,130
49,131
50,132
51,133
52,136
53,137
54,138
55,139
56,142
57,145
58,146
59,149
60,152
61,155
62,158
63,161
64,162
65,165
66,168
67,169
68,172
69,173
70,176
71,179
72,182
73,183
74,186
75,187
76,187
77,190
78,193
79,196
80,199
81,202
82,205
83,206
84,206
85,209
86,212
87,213
88,214
89,217
90,220
91,223
92,226
93,227
94,230
95,231
96,234
97,237
98,238
99,239
100,240
101,240
102,241
103,244
104,245
105,246
106,247
107,250
108,251
109,252
110,255
111,256
112,259
113,260
114,263
115,263
116,266
117,269
118,272
119,273
120,274
121,277
122,278
123,279
124,280
125,281
126,282
127,283
128,283
129,286
130,287
131,288
132,288
133,289
134,290
135,293
136,294
137,295
138,296
139,297
140,298
141,301
142,304
143,304
144,307
145,310
146,311
147,311
148,312
149,312
150,313
151,316
152,319
153,320
154,323
155,323
156,323
157,326
158,326
159,327
160,328
161,331
162,332
163,332
164,333
165,334
166,337
167,338
168,338
169,338
170,341
171,344
172,345
173,346
174,346
175,346
176,349
177,350
178,351
179,354
180,355
181,356
182,356
183,357
184,357
185,358
186,361
187,362
188,362
189,365
190,366
191,369
192,372
193,373
194,373
195,374
196,374
197,374
198,374
199,374
200,374
201,377
202,380
203,380
204,381
205,381
206,381
207,381
208,384
209,385
210,388
211,391
212,392
213,393
214,396
215,399
216,400
217,401
218,402
219,403
220,403
221,403
222,403
223,404
224,404
225,405
226,405
227,408
228,411
229,414
230,414
231,417
232,418
233,419
234,422
235,423
236,426
237,427
238,427
239,428
240,429
241,429
242,430
243,431
244,431
245,432
246,433
247,433
248,434
249,437
250,437
251,440
252,443
253,446
254,447
255,447
256,450
257,453
258,454
259,455
260,455
261,455
262,456
263,456
264,457
265,457
266,460
267,460
268,461
269,461
270,461
271,461
272,461
273,461
274,461
275,462
276,463
277,466
278,467
279,467
280,468
281,468
282,468
283,471
284,472
285,473
286,473
287,473
288,474
289,477
290,477
291,477
292,477
293,478
294,479
295,480
296,480
297,480
298,481
299,482
300,485
301,486
302,489
303,490
304,490
305,491
306,494
307,494
308,494
309,494
310,494
311,494
312,495
313,495
314,495
315,495
316,496
317,497
318,498
319,498
320,499
321,499
322,499
323,499
324,500
325,500
326,500
327,501
328,502
329,503
330,504
331,504
332,504
333,504
334,504
335,504
336,505
337,505
338,508
339,511
340,511
341,512
342,513
343,516
344,517
345,518
346,519
347,519
348,520
349,520
350,520
351,521
352,522
353,523
354,523
355,524
356,524
357,527
358,527
359,527
360,527
361,527
362,528
363,531
364,534
365,534
366,535
367,536
368,536
369,536
370,536
371,536
372,536
373,536
374,536
375,537
376,540
377,540
378,541
379,542
380,542
381,542
382,542
383,543
384,543
385,544
386,547
387,547
388,547
389,548
390,548
391,548
392,549
393,549
394,549
395,549
396,549
397,550
398,553
399,554
400,554
401,557
402,557
403,557
404,557
405,557
406,560
407,563
408,564
409,567
410,567
411,567
412,567
413,567
414,568
415,568
416,569
417,570
418,570
419,570
420,570
421,570
422,570
423,571
424,571
425,574
426,575
427,576
428,577
429,577
430,577
431,577
432,577
433,577
434,578
435,578
436,578
437,578
438,579
439,579
440,582
441,582
442,582
443,583
444,584
445,584
446,584
447,587
448,588
449,588
450,588
451,588
452,589
453,589
454,590
455,593
456,593
457,594
458,597
459,597
460,597
461,600
462,601
463,601
464,601
465,601
466,601
467,601
468,601
469,601
470,601
471,601
472,602
473,603
474,604
475,604
476,605
477,605
478,606
479,606
480,607
481,608
482,608
483,609
484,610
485,611
486,611
487,611
488,611
489,611
490,612
491,612
492,613
493,614
494,614
495,614
496,614
497,614
498,614
499,614
500,614
501,617
502,617
503,618
504,618
505,618
506,618
507,619
508,619
509,620
510,620
511,621
512,621
513,621
514,621
515,621
516,622
517,623
518,623
519,626
520,626
521,626
522,626
523,626
524,626
525,626
526,626
527,626
528,626
529,626
530,626
531,626
532,626
533,627
534,627
535,627
536,627
537,627
538,628
539,628
540,629
541,629
542,629
543,632
544,632
545,632
546,632
547,633
548,633
549,633
550,633
551,633
552,633
553,633
554,633
555,633
556,636
557,636
558,637
559,637
560,637
561,637
562,637
563,638
564,639
565,640
566,640
567,641
568,641
569,641
570,644
571,644
572,644
573,644
574,645
575,645
576,645
577,646
578,647
579,647
580,647
581,648
582,649
583,650
584,653
585,653
586,653
587,653
588,656
589,656
590,656
591,656
592,656
593,656
594,659
595,659
596,659
597,659
598,660
599,660
600,660
601,660
602,660
603,660
604,661
605,661
606,661
607,664
608,664
609,665
610,665
611,665
612,668
613,669
614,669
615,669
616,669
617,669
618,670
619,670
620,670
621,671
622,671
623,672
624,672
625,672
626,672
627,673
628,674
629,674
630,674
631,674
632,674
633,674
634,675
635,675
636,675
637,675
638,675
639,675
640,675
641,675
642,675
643,675
644,675
645,675
646,675
647,675
648,675
649,675
650,676
651,676
652,676
653,679
654,679
655,679
656,680
657,680
658,680
659,681
660,682
661,683
662,683
663,684
664,684
665,684
666,684
667,684
668,684
669,684
670,684
671,684
672,685
673,685
674,685
675,685
676,686
677,686
678,686
679,686
680,686
681,686
682,686
683,686
684,686
685,687
686,687
687,687
688,687
689,687
690,687
691,687
692,687
693,687
694,687
695,688
696,689
697,689
698,689
699,690
700,690
701,690
702,690
703,691
704,691
705,691
706,691
707,691
708,691
709,691
710,692
711,692
712,692
713,692
714,693
715,693
716,693
717,694
718,695
719,695
720,696
721,696
722,696
723,697
724,697
725,697
726,697
727,697
728,697
729,698
730,698
731,698
732,698
733,698
734,698
735,699
736,700
737,700
738,701
739,702
740,702
741,702
742,702
743,702
744,702
745,703
746,704
747,707
748,707
749,707
750,707
751,707
752,707
753,708
754,708
755,708
756,708
757,708
758,708
759,708
760,708
761,708
762,709
763,709
764,709
765,709
766,709
767,710
768,710
769,710
770,711
771,711
772,711
773,711
774,711
775,711
776,711
777,711
778,711
779,711
780,712
781,713
782,713
783,713
784,713
785,713
786,714
787,715
788,715
789,715
790,716
791,716
792,716
793,716
794,716
795,717
796,717
797,717
798,717
799,718
800,718
801,718
802,718
803,719
804,720
805,720
806,720
807,720
808,720
809,720
810,720
811,720
812,720
813,720
814,720
815,720
816,720
817,720
818,720
819,720
820,721
821,721
822,722
823,723
824,723
825,723
826,723
827,723
828,723
829,723
830,723
831,723
832,723
833,724
834,724
835,724
836,724
837,724
838,724
839,724
840,724
841,724
842,724
843,724
844,725
845,725
846,725
847,725
848,725
849,725
850,725
851,725
852,725
853,726
854,726
855,726
856,726
857,727
858,727
859,727
860,727
861,727
862,727
863,727
864,727
865,727
866,727
867,727
868,727
869,727
870,727
871,727
872,727
873,727
874,727
875,728
876,728
877,728
878,728
879,728
880,728
881,728
882,731
883,731
884,731
885,731
886,731
887,731
888,732
889,732
890,732
891,732
892,735
893,735
894,735
895,735
896,736
897,736
898,736
899,736
900,736
901,736
902,737
903,737
904,737
905,737
906,737
907,737
908,737
909,737
910,737
911,737
912,737
913,737
914,737
915,738
916,738
917,738
918,738
919,738
920,738
921,738
922,738
923,738
924,738
925,738
926,739
927,739
928,740
929,740
930,740
931,740
932,740
933,740
934,741
935,741
936,741
937,741
938,741
939,741
940,742
941,743
942,743
943,743
944,743
945,743
946,743
947,746
948,746
949,746
950,746
951,747
952,748
953,749
954,750
955,750
956,750
957,750
958,751
959,751
960,751
961,751
962,752
963,752
964,752
965,752
966,752
967,753
968,753
969,753
970,753
971,753
972,754
973,754
974,754
975,755
976,755
977,755
978,755
979,755
980,758
981,758
982,758
983,758
984,758
985,758
986,758
987,758
988,758
989,758
990,758
991,759
992,759
993,759
994,759
995,759
996,759
997,759
998,759
999,759
1000,759
1001,759
1002,759
1003,759
1004,759
1005,759
1006,760
1007,760
1008,760
1009,760
1010,760
1011,761
1012,761
1013,761
1014,761
1015,761
1016,761
1017,762
1018,762
1019,762
1020,762
1021,763
1022,763
1023,763
1024,763
1025,763
1026,763
1027,763
1028,763
1029,764
1030,764
1031,764
1032,764
1033,765
1034,765
1035,765
1036,765
1037,765
1038,765
1039,765
1040,765
1041,765
1042,765
1043,765
1044,765
1045,766
1046,766
1047,766
1048,766
1049,766
1050,766
1051,766
1052,767
1053,767
1054,767
1055,768
1056,768
1057,768
1058,768
1059,768
1060,768
1061,768
1062,769
1063,769
1064,769
1065,769
1066,770
1067,770
1068,770
1069,771
1070,771
1071,771
1072,771
1073,774
1074,774
1075,775
1076,775
1077,775
1078,775
1079,775
1080,775
1081,775
1082,775
1083,776
1084,776
1085,776
1086,776
1087,776
1088,776
1089,776
1090,776
1091,776
1092,776
1093,777
1094,777
1095,777
1096,777
1097,777
1098,777
1099,777
1100,777
1101,777
1102,777
1103,777
