generation,fitness
1,3
2,6
3,9
4,12
5,15
6,18
7,21
8,24
9,27
10,30
11,33
12,36
13,39
14,42
15,45
16,48
17,51
18,54
19,57
20,60
21,63
22,66
23,69
24,70
25,73
26,76
27,79
28,82
29,83
30,86
31,89
32,92
33,95
34,98
35,101
36,104
37,107
38,108
39,109
40,112
41,113
42,116
43,117
44,119
45,121
46,124
47,127
48,130
49,133
50,136
51,137
52,140
53,143
54,146
55,149
56,152
57,153
58,155
59,156
60,158
61,159
62,159
63,162
64,165
65,166
66,167
67,169
68,172
69,175
70,178
71,181
72,182
73,183
74,186
75,189
76,190
77,193
78,196
79,199
80,202
81,202
82,205
83,208
84,209
85,210
86,211
87,211
88,211
89,214
90,215
91,218
92,221
93,224
94,225
95,225
96,228
97,231
98,232
99,235
100,236
101,239
102,242
103,243
104,244
105,245
106,246
107,249
108,250
109,250
110,251
111,254
112,257
113,260
114,261
115,261
116,262
117,263
118,266
119,269
120,272
121,275
122,275
123,278
124,279
125,280
126,280
127,281
128,282
129,283
130,283
131,286
132,287
133,287
134,290
135,291
136,292
137,293
138,294
139,294
140,295
141,296
142,297
143,300
144,301
145,304
146,307
147,307
148,310
149,311
150,312
151,313
152,316
153,316
154,316
155,319
156,319
157,320
158,321
159,321
160,324
161,325
162,326
163,326
164,326
165,329
166,330
167,333
168,334
169,334
170,337
171,337
172,338
173,341
174,341
175,344
176,345
177,346
178,347
179,348
180,349
181,349
182,350
183,351
184,354
185,354
186,355
187,356
188,356
189,359
190,360
191,360
192,363
193,363
194,366
195,366
196,367
197,370
198,371
199,372
200,372
201,373
202,374
203,375
204,376
205,377
206,380
207,381
208,381
209,382
210,382
211,382
212,383
213,384
214,384
215,385
216,388
217,389
218,392
219,392
220,393
221,393
222,393
223,393
224,393
225,394
226,397
227,398
228,399
229,402
230,403
231,406
232,407
233,410
234,411
235,412
236,413
237,413
238,414
239,414
240,417
241,417
242,417
243,418
244,421
245,422
246,425
247,425
248,426
249,426
250,429
251,429
252,430
253,430
254,430
255,431
256,431
257,432
258,432
259,435
260,436
261,437
262,440
263,441
264,442
265,442
266,442
267,442
268,443
269,446
270,449
271,450
272,450
273,453
274,453
275,456
276,457
277,457
278,460
279,461
280,461
281,462
282,462
283,462
284,463
285,463
286,463
287,466
288,467
289,470
290,471
291,472
292,475
293,475
294,478
295,481
296,482
297,483
298,483
299,486
300,486
301,487
302,488
303,489
304,490
305,493
306,494
307,495
308,495
309,495
310,496
311,499
312,499
313,499
314,500
315,500
316,500
317,500
318,500
319,500
320,501
321,504
322,504
323,504
324,505
325,506
326,506
327,509
328,510
329,513
330,514
331,517
332,517
333,517
334,517
335,518
336,518
337,518
338,521
339,522
340,522
341,525
342,526
343,527
344,530
345,531
346,531
347,534
348,534
349,535
350,536
351,539
352,539
353,540
354,540
355,541
356,541
357,542
358,542
359,542
360,543
361,544
362,547
363,548
364,548
365,548
366,548
367,549
368,549
369,549
370,549
371,549
372,549
373,549
374,549
375,549
376,549
377,549
378,549
379,550
380,550
381,550
382,550
383,551
384,551
385,551
386,551
387,552
388,553
389,554
390,557
391,558
392,558
393,559
394,559
395,559
396,559
397,559
398,560
399,563
400,564
401,565
402,566
403,566
404,566
405,567
406,570
407,570
408,571
409,572
410,575
411,576
412,577
413,577
414,577
415,577
416,577
417,578
418,578
419,578
420,581
421,584
422,584
423,587
424,588
425,588
426,589
427,589
428,590
429,591
430,591
431,591
432,591
433,591
434,591
435,592
436,592
437,592
438,593
439,594
440,594
441,594
442,594
443,594
444,595
445,595
446,596
447,596
448,597
449,598
450,598
451,598
452,598
453,598
454,598
455,599
456,599
457,599
458,599
459,599
460,600
461,600
462,601
463,601
464,602
465,602
466,602
467,602
468,602
469,603
470,603
471,603
472,603
473,603
474,603
475,603
476,603
477,603
478,603
479,603
480,603
481,604
482,604
483,604
484,604
485,605
486,608
487,608
488,608
489,608
490,608
491,609
492,610
493,610
494,613
495,613
496,613
497,613
498,613
499,613
500,613
501,613
502,614
503,614
504,614
505,614
506,614
507,615
508,615
509,615
510,615
511,615
512,616
513,619
514,620
515,620
516,620
517,621
518,621
519,621
520,622
521,622
522,622
523,622
524,622
525,622
526,622
527,625
528,625
529,626
530,626
531,626
532,626
533,626
534,627
535,627
536,627
537,627
538,627
539,627
540,627
541,627
542,628
543,631
544,631
545,632
546,632
547,633
548,634
549,634
550,634
551,634
552,635
553,638
554,639
555,639
556,639
557,639
558,640
559,641
560,644
561,645
562,645
563,645
564,646
565,647
566,648
567,648
568,648
569,649
570,649
571,649
572,649
573,649
574,649
575,650
576,650
577,650
578,650
579,650
580,651
581,651
582,652
583,652
584,653
585,654
586,654
587,654
588,654
589,655
590,656
591,657
592,657
593,657
594,657
595,657
596,657
597,657
598,657
599,658
600,658
601,658
602,659
603,662
604,662
605,662
606,663
607,664
608,664
609,664
610,665
611,666
612,666
613,666
614,666
615,666
616,666
617,667
618,667
619,668
620,668
621,668
622,668
623,668
624,669
625,670
626,670
627,673
628,673
629,673
630,673
631,676
632,676
633,676
634,676
635,676
636,676
637,676
638,677
639,677
640,678
641,678
642,678
643,679
644,680
645,681
646,681
647,681
648,681
649,681
650,681
651,681
652,681
653,681
654,681
655,681
656,682
657,682
658,682
659,682
660,682
661,682
662,682
663,682
664,683
665,683
666,683
667,683
668,683
669,683
670,686
671,686
672,686
673,686
674,687
675,687
676,687
677,687
678,687
679,687
680,687
681,687
682,687
683,687
684,687
685,687
686,688
687,688
688,688
689,688
690,688
691,689
692,690
693,690
694,690
695,690
696,690
697,690
698,691
699,692
700,692
701,692
702,693
703,693
704,693
705,693
706,693
707,693
708,696
709,696
710,696
711,696
712,696
713,696
714,696
715,696
716,696
717,696
718,696
719,696
720,696
721,696
722,696
723,696
724,696
725,696
726,699
727,699
728,699
729,699
730,699
731,699
732,700
733,700
734,700
735,700
736,700
737,700
738,700
739,700
740,700
741,701
742,701
743,701
744,701
745,701
746,701
747,701
748,701
749,702
750,703
751,703
752,703
753,703
754,703
755,703
756,703
757,703
758,704
759,705
760,705
761,706
762,706
763,706
764,706
765,707
766,707
767,707
768,707
769,707
770,708
771,708
772,708
773,708
774,709
775,710
776,710
777,710
778,710
779,710
780,710
781,711
782,711
783,712
784,712
785,712
786,713
787,713
788,713
789,713
790,713
791,713
792,713
793,713
794,713
795,713
796,713
797,713
798,714
799,714
800,714
801,714
802,714
803,714
804,714
805,714
806,714
807,714
808,714
809,714
810,714
811,714
812,714
813,714
814,714
815,714
816,714
817,715
818,718
819,718
820,718
821,718
822,718
823,718
824,718
825,718
826,719
827,720
828,720
829,720
830,721
831,722
832,723
833,723
834,723
835,723
836,723
837,723
838,724
839,724
840,724
841,724
842,724
843,724
844,724
845,725
846,725
847,725
848,725
849,725
850,725
851,725
852,725
853,725
854,725
855,725
856,725
857,725
858,725
859,726
860,726
861,726
862,726
863,726
864,726
865,726
866,726
867,726
868,726
869,726
870,726
871,726
872,727
873,727
874,727
875,727
876,727
877,727
878,727
879,727
880,727
881,727
882,728
883,728
884,728
885,728
886,728
887,728
888,728
889,728
890,728
891,728
892,728
893,728
894,728
895,728
896,728
897,728
898,728
899,728
900,728
901,728
902,728
903,728
904,728
905,728
906,728
907,728
908,728
909,728
910,728
911,728
912,728
913,729
914,729
915,729
916,730
917,730
918,730
919,730
920,730
921,730
922,730
923,730
924,730
925,731
926,731
927,731
928,731
929,731
930,731
931,731
932,731
933,731
934,731
935,731
936,731
937,731
938,731
939,731
940,731
941,731
942,731
943,731
944,731
945,734
946,734
947,734
948,734
949,734
950,734
951,734
952,734
953,734
954,734
955,734
956,734
957,734
958,734
959,734
960,734
961,734
962,734
963,735
964,735
965,735
966,735
967,736
968,736
969,736
970,737
971,737
972,737
973,738
974,738
975,738
976,738
977,738
978,739
979,739
980,739
981,739
982,739
983,739
984,739
985,739
986,739
987,739
988,739
989,739
990,739
991,740
992,740
993,740
994,740
995,741
996,741
997,741
998,741
999,741
1000,741
1001,741
1002,741
1003,741
1004,741
1005,741
1006,741
1007,741
1008,741
1009,741
1010,741
1011,741
1012,741
1013,741
1014,741
1015,741
1016,741
1017,741
1018,741
1019,741
1020,741
1021,741
1022,741
1023,741
1024,741
1025,741
1026,741
1027,741
1028,742
1029,742
1030,742
1031,742
1032,742
1033,743
1034,744
1035,744
1036,744
1037,745
1038,745
1039,746
1040,746
1041,747
1042,747
1043,747
1044,747
1045,747
1046,747
1047,747
1048,747
1049,747
1050,748
1051,748
1052,748
1053,748
1054,748
1055,748
1056,748
1057,748
1058,748
1059,748
1060,748
1061,748
1062,748
1063,749
1064,749
1065,749
1066,749
1067,749
1068,749
1069,749
1070,749
1071,750
1072,750
1073,750
1074,750
1075,750
1076,750
1077,750
1078,750
1079,750
1080,750
1081,750
1082,750
1083,751
1084,751
1085,751
1086,751
1087,752
1088,752
1089,752
1090,752
1091,752
1092,752
1093,752
1094,752
1095,752
1096,753
1097,754
1098,754
1099,754
1100,754
1101,754
1102,754
1103,754
