generation,fitness
1,3
2,6.571428571428571
3,9.80952380952381
4,12.285714285714286
5,15.19047619047619
6,18.428571428571427
7,21.666666666666668
8,24.333333333333332
9,27.571428571428573
10,30.428571428571427
11,33.61904761904762
12,36.57142857142857
13,39.904761904761905
14,42.57142857142857
15,45.333333333333336
16,48.285714285714285
17,51.333333333333336
18,54.19047619047619
19,56.80952380952381
20,60.095238095238095
21,62.57142857142857
22,65.52380952380952
23,68.9047619047619
24,71.23809523809524
25,74.19047619047619
26,76.71428571428571
27,79.42857142857143
28,82.14285714285714
29,85.33333333333333
30,88.23809523809524
31,90.80952380952381
32,93.23809523809524
33,96.0952380952381
34,99.19047619047619
35,101.71428571428571
36,104.38095238095238
37,106.9047619047619
38,109.33333333333333
39,112
40,114.33333333333333
41,117.0952380952381
42,120.04761904761905
43,122.57142857142857
44,125.19047619047619
45,127.61904761904762
46,130.14285714285714
47,132.57142857142858
48,134.85714285714286
49,137.23809523809524
50,139.8095238095238
51,141.66666666666666
52,143.95238095238096
53,146.61904761904762
54,148.9047619047619
55,151.66666666666666
56,154.42857142857142
57,156.52380952380952
58,159
59,161.33333333333334
60,163.23809523809524
61,165.57142857142858
62,167.66666666666666
63,170.42857142857142
64,172.57142857142858
65,174.66666666666666
66,176.8095238095238
67,178.76190476190476
68,181.04761904761904
69,183.23809523809524
70,185.28571428571428
71,187.57142857142858
72,190
73,192.14285714285714
74,194.9047619047619
75,197.33333333333334
76,199.61904761904762
77,201.57142857142858
78,204.23809523809524
79,206.57142857142858
80,208.85714285714286
81,210.85714285714286
82,212.85714285714286
83,214.8095238095238
84,216.8095238095238
85,218.95238095238096
86,221.1904761904762
87,223.14285714285714
88,225.04761904761904
89,227.28571428571428
90,229.57142857142858
91,231.1904761904762
92,233.23809523809524
93,235.23809523809524
94,237
95,239.0952380952381
96,240.42857142857142
97,243.04761904761904
98,244.71428571428572
99,246.52380952380952
100,248.28571428571428
101,249.52380952380952
102,252.04761904761904
103,253.9047619047619
104,256
105,257.3809523809524
106,259.57142857142856
107,261.42857142857144
108,263.23809523809524
109,265.2857142857143
110,267.4761904761905
111,269
112,270.95238095238096
113,273.3333333333333
114,275.42857142857144
115,276.8095238095238
116,278.9047619047619
117,280.8095238095238
118,282.85714285714283
119,284.23809523809524
120,286
121,288.3333333333333
122,290.3333333333333
123,292.3333333333333
124,294.3333333333333
125,295.5238095238095
126,297.3809523809524
127,299.57142857142856
128,301.2857142857143
129,303.0952380952381
130,305.4761904761905
131,307.04761904761904
132,308.57142857142856
133,310.04761904761904
134,311.8095238095238
135,313.57142857142856
136,314.7142857142857
137,316.9047619047619
138,318.8095238095238
139,320.4761904761905
140,321.8095238095238
141,323.1904761904762
142,324.95238095238096
143,326.3333333333333
144,328.1904761904762
145,329.7142857142857
146,330.95238095238096
147,332.4761904761905
148,334.3333333333333
149,336.14285714285717
150,337.7142857142857
151,339.6666666666667
152,341.5238095238095
153,342.9047619047619
154,344.3333333333333
155,346.1904761904762
156,348.0952380952381
157,349.7142857142857
158,351.0952380952381
159,352.5238095238095
160,354.3809523809524
161,355.57142857142856
162,357.8095238095238
163,358.95238095238096
164,360.3809523809524
165,362.5238095238095
166,363.57142857142856
167,365.57142857142856
168,367.0952380952381
169,368.3333333333333
170,369.3809523809524
171,371.76190476190476
172,373.2857142857143
173,374.85714285714283
174,376.6190476190476
175,377.9047619047619
176,379.57142857142856
177,381.3809523809524
178,382.6666666666667
179,384.6190476190476
180,385.85714285714283
181,387.2857142857143
182,389.0952380952381
183,390.3809523809524
184,392
185,393.95238095238096
186,395.76190476190476
187,397.04761904761904
188,398.5238095238095
189,400
190,401.3333333333333
191,402.6666666666667
192,404.3809523809524
193,405.76190476190476
194,407.5238095238095
195,408.76190476190476
196,409.7142857142857
197,410.8095238095238
198,412
199,413.2857142857143
200,414.6666666666667
201,416.04761904761904
202,417.3809523809524
203,418.6190476190476
204,419.76190476190476
205,421.6190476190476
206,422.9047619047619
207,423.85714285714283
208,425.04761904761904
209,426.5238095238095
210,427.95238095238096
211,428.9047619047619
212,430.42857142857144
213,432.0952380952381
214,432.95238095238096
215,434.4761904761905
216,435.85714285714283
217,437.3333333333333
218,438.95238095238096
219,439.95238095238096
220,441.3809523809524
221,442.6190476190476
222,444.4761904761905
