generation,fitness
1,3
2,6
3,9
4,12
5,15
6,17.904761904761905
7,20.904761904761905
8,23.904761904761905
9,26.904761904761905
10,29.80952380952381
11,32.714285714285715
12,35.714285714285715
13,38.61904761904762
14,41.523809523809526
15,44.42857142857143
16,47.142857142857146
17,49.76190476190476
18,52.666666666666664
19,55.476190476190474
20,58.285714285714285
21,60.904761904761905
22,63.80952380952381
23,66.61904761904762
24,69.42857142857143
25,72.14285714285714
26,74.57142857142857
27,77.38095238095238
28,79.71428571428571
29,82.19047619047619
30,84.42857142857143
31,87.19047619047619
32,90
33,92.66666666666667
34,95.33333333333333
35,97.9047619047619
36,100.42857142857143
37,103
38,105.57142857142857
39,108
40,110.57142857142857
41,112.80952380952381
42,115.28571428571429
43,117.85714285714286
44,119.95238095238095
45,122.33333333333333
46,124.76190476190476
47,127
48,129.23809523809524
49,131.71428571428572
50,134.0952380952381
51,136.71428571428572
52,138.9047619047619
53,141.04761904761904
54,143.14285714285714
55,145.66666666666666
56,147.95238095238096
57,150.23809523809524
58,152.52380952380952
59,154.8095238095238
60,156.9047619047619
61,158.71428571428572
62,160.71428571428572
63,163.0952380952381
64,165.28571428571428
65,167.42857142857142
66,169.66666666666666
67,172
68,173.85714285714286
69,175.9047619047619
70,177.95238095238096
71,180.33333333333334
72,182.42857142857142
73,184.0952380952381
74,186.42857142857142
75,188.14285714285714
76,190.47619047619048
77,192.28571428571428
78,194.0952380952381
79,196.1904761904762
80,198.42857142857142
81,200.23809523809524
82,202.28571428571428
83,204.38095238095238
84,206.04761904761904
85,207.76190476190476
86,209.52380952380952
87,211.28571428571428
88,213.47619047619048
89,214.85714285714286
90,216.71428571428572
91,218.66666666666666
92,220.8095238095238
93,222.33333333333334
94,224.1904761904762
95,226.14285714285714
96,228.0952380952381
97,229.9047619047619
98,232
99,234.33333333333334
100,235.95238095238096
101,237.57142857142858
102,239.0952380952381
103,240.8095238095238
104,242.57142857142858
105,244.57142857142858
106,246.47619047619048
107,248.14285714285714
108,249.52380952380952
109,251.0952380952381
110,252.8095238095238
111,254.8095238095238
112,256.9047619047619
113,258.4761904761905
114,260.5238095238095
115,261.6190476190476
116,263.04761904761904
117,265.04761904761904
118,266.76190476190476
119,268.9047619047619
120,270.3809523809524
121,271.85714285714283
122,273.2857142857143
123,274.57142857142856
124,276.4761904761905
125,278.04761904761904
126,279.7142857142857
127,281.2857142857143
128,282.7142857142857
129,284.3809523809524
130,285.76190476190476
131,287.23809523809524
132,288.42857142857144
133,290.23809523809524
134,291.95238095238096
135,292.85714285714283
136,294.23809523809524
137,295.6190476190476
138,297.04761904761904
139,298.42857142857144
140,300.0952380952381
141,301.85714285714283
142,303
143,304.6190476190476
144,306.04761904761904
145,307.95238095238096
146,309.4761904761905
147,311.2857142857143
148,312.42857142857144
149,314.14285714285717
150,315.4761904761905
151,316.57142857142856
152,317.76190476190476
153,319.42857142857144
154,320.9047619047619
155,321.95238095238096
156,323.57142857142856
157,324.6666666666667
158,326
159,327.3333333333333
160,328.6190476190476
161,330.6190476190476
162,332.1904761904762
163,333.5238095238095
164,334.8095238095238
165,336.2857142857143
166,337.42857142857144
167,338.95238095238096
168,340.57142857142856
169,342
170,343.14285714285717
171,345
172,346.1904761904762
173,347.3809523809524
174,348.85714285714283
175,349.95238095238096
176,351.2857142857143
177,352.14285714285717
178,353.4761904761905
179,354.5238095238095
180,355.6190476190476
181,356.4761904761905
182,357.7142857142857
183,359.0952380952381
184,361
185,362.2857142857143
186,363.85714285714283
187,365.0952380952381
188,366.14285714285717
189,367.3333333333333
190,368.8095238095238
191,370.0952380952381
192,370.9047619047619
193,371.85714285714283
194,372.6666666666667
195,373.95238095238096
196,375.23809523809524
197,376.4761904761905
198,377.6190476190476
199,378.85714285714283
200,380.3333333333333
201,381.42857142857144
202,382.6190476190476
203,383.95238095238096
204,385.14285714285717
205,386.3333333333333
206,388.1904761904762
207,389.42857142857144
208,390.5238095238095
209,391.8095238095238
210,393.0952380952381
211,394.57142857142856
212,395.57142857142856
213,396.76190476190476
214,397.76190476190476
215,398.9047619047619
216,400.23809523809524
217,401
218,401.95238095238096
219,403.23809523809524
220,404.1904761904762
221,405.2857142857143
222,406.0952380952381
223,407.3333333333333
224,408.5238095238095
225,409.57142857142856
226,410.57142857142856
227,411.4761904761905
228,412.3809523809524
229,413.1904761904762
230,414.1904761904762
231,415.23809523809524
232,416.14285714285717
233,417
234,417.7142857142857
235,418.4761904761905
236,419.57142857142856
237,420.76190476190476
238,421.85714285714283
239,422.9047619047619
240,424
241,424.5238095238095
242,425.6190476190476
243,426.8095238095238
244,428.04761904761904
245,428.95238095238096
246,430.0952380952381
247,431.14285714285717
248,432.4761904761905
249,433.57142857142856
250,434.42857142857144
251,435.57142857142856
252,436.57142857142856
253,437.5238095238095
254,438.2857142857143
255,438.95238095238096
256,440.3333333333333
257,441.0952380952381
258,442.4761904761905
259,443.4761904761905
260,444.3809523809524
261,445.1904761904762
262,446.14285714285717
263,447.23809523809524
264,448.0952380952381
265,449
266,450.1904761904762
267,451.23809523809524
268,452
269,452.76190476190476
270,453.5238095238095
271,454.23809523809524
272,455.2857142857143
273,456.95238095238096
274,457.9047619047619
275,458.8095238095238
276,460.0952380952381
277,461.14285714285717
278,461.95238095238096
279,462.5238095238095
280,463.5238095238095
281,464.57142857142856
282,465.2857142857143
283,466.23809523809524
284,466.95238095238096
285,467.76190476190476
286,468.6190476190476
287,469.95238095238096
288,470.9047619047619
289,471.57142857142856
290,472.14285714285717
291,472.85714285714283
292,473.76190476190476
293,474.23809523809524
294,475.3809523809524
295,475.9047619047619
296,477.0952380952381
297,477.95238095238096
298,478.3809523809524
299,479.1904761904762
300,479.95238095238096
301,480.5238095238095
302,481.5238095238095
303,482.42857142857144
304,483.1904761904762
305,483.9047619047619
306,485
307,485.85714285714283
308,486.7142857142857
309,487.5238095238095
310,488.0952380952381
311,488.6190476190476
312,489.1904761904762
313,490
314,490.5238095238095
315,491.23809523809524
316,492.14285714285717
317,492.8095238095238
318,493.5238095238095
319,494.5238095238095
320,495.2857142857143
321,496.42857142857144
322,497.14285714285717
323,497.8095238095238
324,498.7142857142857
325,499.3333333333333
326,499.6666666666667
327,500.3809523809524
328,501.3333333333333
329,501.9047619047619
330,502.8095238095238
331,503.76190476190476
332,504.57142857142856
333,505.2857142857143
334,506.42857142857144
335,507.3809523809524
336,508.42857142857144
337,509.1904761904762
338,510.04761904761904
339,510.76190476190476
340,511.23809523809524
341,512.047619047619
342,513
343,513.7619047619048
344,514.5238095238095
345,515.2380952380952
346,515.9047619047619
347,516.5238095238095
348,517.1904761904761
349,518
350,518.7142857142857
351,519.6190476190476
352,520.2380952380952
353,520.7619047619048
354,521.1904761904761
355,521.6190476190476
356,522.6190476190476
357,523.5714285714286
358,524.047619047619
359,524.6190476190476
360,525.4285714285714
361,526.047619047619
362,527
363,527.8095238095239
364,528.4285714285714
365,529.4285714285714
366,529.7619047619048
367,530.4285714285714
368,530.952380952381
369,531.8095238095239
370,532.1904761904761
371,532.9047619047619
372,533.2380952380952
373,534.1904761904761
374,534.7142857142857
375,535.4285714285714
376,536
377,536.7142857142857
378,537.047619047619
379,537.6190476190476
380,537.952380952381
381,538.4761904761905
382,538.8095238095239
383,539.5238095238095
384,540.2857142857143
385,540.8571428571429
386,541.3333333333334
387,541.7142857142857
388,542.5238095238095
389,543.1904761904761
390,543.8095238095239
391,544.4285714285714
392,544.9047619047619
393,545.4285714285714
394,546.1904761904761
395,547.0952380952381
396,548.047619047619
397,548.9047619047619
398,549.5238095238095
399,550
400,550.5238095238095
401,551.1428571428571
402,551.9047619047619
403,552.5714285714286
404,553.3809523809524
405,554.0952380952381
406,554.5238095238095
407,555
408,555.3809523809524
409,555.8571428571429
410,556.2380952380952
411,557.047619047619
412,557.3809523809524
413,557.6666666666666
414,558.1904761904761
415,558.6666666666666
416,559.1904761904761
417,559.6666666666666
418,560.2380952380952
419,560.6190476190476
420,561.5238095238095
421,562.047619047619
422,562.6666666666666
423,563.047619047619
424,563.7142857142857
425,564.4285714285714
426,564.8095238095239
427,565.6190476190476
428,566.2857142857143
429,566.8095238095239
430,567.7142857142857
431,568.2380952380952
432,568.7142857142857
433,569.3809523809524
434,569.8571428571429
435,570.7142857142857
436,570.9047619047619
437,571.3333333333334
438,571.8095238095239
439,572.3809523809524
440,573
441,573.5714285714286
442,574.0952380952381
443,574.3809523809524
444,575.047619047619
445,575.4761904761905
446,576.047619047619
447,576.7619047619048
448,577.047619047619
449,577.4761904761905
450,578.2857142857143
451,578.8571428571429
452,579.7619047619048
453,580.1904761904761
454,580.6666666666666
455,581.0952380952381
456,581.3809523809524
457,581.7619047619048
458,582.1428571428571
459,582.9047619047619
460,583.5714285714286
461,584.4761904761905
462,584.8571428571429
463,585.3809523809524
464,585.6666666666666
465,586.2380952380952
466,586.5238095238095
467,587.1428571428571
468,588.047619047619
469,588.5714285714286
470,589
471,589.6666666666666
